('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         931727 function calls (909642 primitive calls) in 281.719 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11  269.947   24.541  269.947   24.541 {method 'connect' of '_socket.socket' objects}
        9    4.121    0.458    4.121    0.458 {method 'do_handshake' of '_ssl._SSLSocket' objects}
     1037    3.587    0.003    3.587    0.003 {method 'read' of '_ssl._SSLSocket' objects}
        9    1.911    0.212    1.966    0.218 {built-in method _socket.getaddrinfo}
      184    0.414    0.002    0.898    0.005 {method 'read' of '_io.BufferedReader' objects}
    15/11    0.391    0.026    0.542    0.049 {built-in method _imp.create_dynamic}
      734    0.069    0.000    0.069    0.000 {built-in method posix.stat}
        1    0.068    0.068    0.070    0.070 decoder.py:1(<module>)
        1    0.059    0.059    0.059    0.059 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
       15    0.058    0.004    0.058    0.004 {built-in method _imp.exec_dynamic}
    41736    0.057    0.000    0.057    0.000 {method 'match' of 're.Pattern' objects}
        9    0.055    0.006    0.055    0.006 {built-in method posix.listdir}
     4660    0.054    0.000    0.065    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     4660    0.050    0.000    0.322    0.000 parser.py:320(parse_starttag)
       20    0.045    0.002    0.045    0.002 socket.py:221(__init__)
      174    0.045    0.000    0.045    0.000 {built-in method marshal.loads}
      174    0.037    0.000    0.037    0.000 {built-in method _io.open_code}
        4    0.035    0.009    0.535    0.134 parser.py:135(goahead)
    13815    0.029    0.000    0.029    0.000 {method 'search' of 're.Pattern' objects}
 4488/179    0.028    0.000    0.084    0.000 _parser.py:512(_parse)
       98    0.026    0.000    0.026    0.000 {method 'decode' of 'bytes' objects}
     4660    0.022    0.000    0.155    0.000 __init__.py:990(handle_starttag)
5548/5521    0.022    0.000    0.023    0.000 {built-in method __new__ of type object at 0xa43b40}
    13861    0.020    0.000    0.020    0.000 {method 'count' of 'str' objects}
 5001/173    0.018    0.000    0.043    0.000 _compiler.py:37(_compile)
     9651    0.017    0.000    0.073    0.000 __init__.py:829(endData)
     4660    0.016    0.000    0.081    0.000 _htmlparser.py:204(handle_endtag)
  785/784    0.016    0.000    0.075    0.000 {built-in method builtins.__build_class__}
    14344    0.016    0.000    0.016    0.000 element.py:382(setup)
    93459    0.015    0.000    0.015    0.000 {method 'append' of 'list' objects}
     4660    0.015    0.000    0.176    0.000 _htmlparser.py:142(handle_starttag)
     4662    0.014    0.000    0.087    0.000 element.py:1813(__init__)
     4275    0.013    0.000    0.101    0.000 parser.py:398(parse_endtag)
    29552    0.013    0.000    0.013    0.000 {method 'group' of 're.Match' objects}
64853/59223    0.011    0.000    0.012    0.000 {built-in method builtins.len}
63588/63584    0.010    0.000    0.010    0.000 {built-in method builtins.isinstance}
     4841    0.010    0.000    0.023    0.000 __init__.py:870(object_was_parsed)
     4657    0.010    0.000    0.019    0.000 __init__.py:953(_popToTag)
      306    0.009    0.000    0.009    0.000 {method 'split' of 'str' objects}
     4841    0.009    0.000    0.019    0.000 element.py:1478(__new__)
     4662    0.009    0.000    0.011    0.000 __init__.py:812(pushTag)
      655    0.009    0.000    0.012    0.000 _compiler.py:243(_optimize_charset)
    18264    0.009    0.000    0.029    0.000 _markupbase.py:44(updatepos)
 1081/173    0.009    0.000    0.085    0.000 _parser.py:452(_parse_sub)
 4932/338    0.008    0.000    0.013    0.000 _parser.py:178(getwidth)
    25579    0.008    0.000    0.012    0.000 _parser.py:168(__getitem__)
    29183    0.008    0.000    0.008    0.000 {method 'get' of 'dict' objects}
     1383    0.008    0.000    0.018    0.000 {method 'sub' of 're.Pattern' objects}
    28014    0.007    0.000    0.007    0.000 {method 'lower' of 'str' objects}
     4841    0.007    0.000    0.012    0.000 __init__.py:735(string_container)
     8452    0.007    0.000    0.010    0.000 __init__.py:91(_replace_charref)
9763/9741    0.007    0.000    0.013    0.000 typing.py:392(inner)
     4660    0.006    0.000    0.007    0.000 __init__.py:789(popTag)
    18503    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
     4660    0.005    0.000    0.032    0.000 parser.py:364(check_for_whole_start_tag)
     4657    0.005    0.000    0.065    0.000 __init__.py:1056(handle_endtag)
     3625    0.005    0.000    0.005    0.000 {method 'findall' of 're.Pattern' objects}
    12447    0.005    0.000    0.008    0.000 _parser.py:261(get)
        1    0.005    0.005    0.065    0.065 dammit.py:128(_populate_class_variables)
    25770    0.005    0.000    0.005    0.000 {method 'end' of 're.Match' objects}
     1037    0.005    0.000    3.595    0.003 ssl.py:1237(recv_into)
    19785    0.004    0.000    0.004    0.000 _parser.py:240(__next)
     2844    0.004    0.000    0.005    0.000 __init__.py:909(_linkage_fixer)
    13367    0.004    0.000    0.004    0.000 {built-in method builtins.min}
      174    0.004    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      323    0.003    0.000    0.131    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     4497    0.003    0.000    0.007    0.000 element.py:2068(_all_strings)
    10155    0.003    0.000    0.004    0.000 _parser.py:256(match)
      496    0.003    0.000    0.004    0.000 css_types.py:41(__init__)
    11016    0.003    0.000    0.004    0.000 _parser.py:164(__len__)
    11102    0.003    0.000    0.020    0.000 __init__.py:122(unescape)
     1037    0.003    0.000    3.600    0.003 socket.py:693(readinto)
     4735    0.003    0.000    0.006    0.000 _htmlparser.py:222(handle_data)
     7766    0.003    0.000    0.003    0.000 {method 'endswith' of 'str' objects}
      299    0.003    0.000    0.146    0.000 __init__.py:280(_compile)
     7188    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
       16    0.002    0.000    0.006    0.000 enum.py:1708(convert_class)
      174    0.002    0.000    0.501    0.003 <frozen importlib._bootstrap_external>:1062(get_code)
     9311    0.002    0.000    0.002    0.000 {method 'start' of 're.Match' objects}
    10959    0.002    0.000    0.002    0.000 {method 'strip' of 'str' objects}
     4660    0.002    0.000    0.003    0.000 element.py:2007(is_empty_element)
     9472    0.002    0.000    0.002    0.000 element.py:3090(descendants)
     6730    0.002    0.000    0.003    0.000 _parser.py:176(append)
     4901    0.002    0.000    0.003    0.000 __init__.py:1068(handle_data)
     1037    0.002    0.000    3.590    0.003 ssl.py:1095(read)
     1739    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    209/3    0.002    0.000    1.404    0.468 <frozen importlib._bootstrap>:1349(_find_and_load)
      111    0.002    0.000    0.004    0.000 _compiler.py:467(_get_charset_prefix)
      177    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
      208    0.002    0.000    0.137    0.001 <frozen importlib._bootstrap>:1240(_find_spec)
     6927    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
    14237    0.002    0.000    0.002    0.000 typing.py:2154(cast)
    175/1    0.002    0.000  281.719  281.719 {built-in method builtins.exec}
       15    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      232    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:304(acquire)
     4662    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
      232    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:162(__enter__)
     4135    0.001    0.000    0.002    0.000 {built-in method builtins.max}
      348    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      341    0.001    0.000    0.005    0.000 css_parser.py:1108(selector_iter)
     5519    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
      232    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
    209/3    0.001    0.000    1.403    0.468 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     7426    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
        2    0.001    0.001    0.001    0.001 {method 'write' of '_io.BytesIO' objects}
     3355    0.001    0.000    0.002    0.000 _parser.py:293(tell)
     1037    0.001    0.000    0.002    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     5113    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     3734    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
    204/4    0.001    0.000    1.401    0.350 <frozen importlib._bootstrap>:911(_load_unlocked)
       15    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
     4554    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     4662    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
      232    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
      974    0.001    0.000    0.002    0.000 _parser.py:172(__setitem__)
      173    0.001    0.000    0.010    0.000 _compiler.py:511(_compile_info)
        1    0.001    0.001  280.370  280.370 financial_enhanced.py:104(main)
       14    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
    441/7    0.001    0.000    1.343    0.192 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        9    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      346    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
      990    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
    56/16    0.001    0.000    0.019    0.001 css_parser.py:925(parse_selectors)
      174    0.001    0.000    0.445    0.003 <frozen importlib._bootstrap_external>:1183(get_data)
     2751    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     2673    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      173    0.001    0.000    0.141    0.001 _compiler.py:740(compile)
        9    0.001    0.000    0.001    0.000 socket.py:304(makefile)
      655    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
      112    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
     1037    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      204    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     4660    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
     4275    0.001    0.000    0.001    0.000 parser.py:128(clear_cdata_mode)
      232    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
      709    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
       10    0.001    0.000    0.005    0.001 enum.py:919(_convert_)
     2585    0.001    0.000    0.003    0.000 css_parser.py:317(match)
     1921    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        9    0.001    0.000    0.001    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      174    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
     1311    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
    174/4    0.001    0.000    1.401    0.350 <frozen importlib._bootstrap_external>:989(exec_module)
      610    0.001    0.000    0.001    0.000 typing.py:1188(__setattr__)
      348    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      193    0.001    0.000    0.133    0.001 <frozen importlib._bootstrap_external>:1491(_get_spec)
      189    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
        9    0.001    0.000    0.001    0.000 ssl.py:1309(_real_close)
     3712    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
      750    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
       79    0.001    0.000    0.006    0.000 css_parser.py:472(parse_attribute_selector)
      144    0.001    0.000    3.116    0.022 {method 'readline' of '_io.BufferedReader' objects}
       28    0.001    0.000    0.002    0.000 cookiejar.py:1096(return_ok)
      180    0.001    0.000    0.002    0.000 typing.py:175(_type_check)
      353    0.001    0.000    0.001    0.000 enum.py:850(__setattr__)
      173    0.001    0.000    0.086    0.000 _parser.py:969(parse)
      751    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     1046    0.001    0.000    0.001    0.000 socket.py:732(readable)
        9    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
        1    0.001    0.001  281.719  281.719 financial_enhanced.py:1(<module>)
      650    0.001    0.000    0.001    0.000 _compiler.py:398(_simple)
       17    0.001    0.000    0.001    0.000 <frozen codecs>:1076(make_identity_dict)
        1    0.001    0.001    0.007    0.007 element.py:530(get_text)
      142    0.001    0.000    0.001    0.000 css_parser.py:369(__init__)
     1243    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
       14    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      232    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
       97    0.001    0.000    0.003    0.000 typing.py:1242(__init__)
       11    0.001    0.000    0.001    0.000 {function socket.close at 0x711d911667a0}
     1773    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      525    0.001    0.000    0.001    0.000 enum.py:726(__call__)
      792    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
        9    0.000    0.000    4.124    0.458 ssl.py:956(_create)
      522    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
  204/193    0.000    0.000    0.549    0.003 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.001    0.001 entities.py:1(<module>)
      173    0.000    0.000    0.053    0.000 _compiler.py:573(_code)
        1    0.000    0.000    0.002    0.002 constant.py:1(<module>)
      189    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      525    0.000    0.000    0.001    0.000 enum.py:1129(__new__)
      208    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
       10    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
  142/137    0.000    0.000    0.004    0.000 css_parser.py:395(freeze)
       10    0.000    0.000    2.367    0.237 __init__.py:1(<module>)
       50    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.549    0.549 api.py:1(<module>)
        9    0.000    0.000    0.004    0.000 parser.py:56(parsestr)
      412    0.000    0.000    0.001    0.000 _parser.py:265(getwhile)
        1    0.000    0.000  279.829  279.829 financial_enhanced.py:51(get_financial_page)
       21    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
      164    0.000    0.000    0.003    0.000 _markupbase.py:165(parse_comment)
      664    0.000    0.000    0.001    0.000 typing.py:1134(_is_dunder)
      173    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        9    0.000    0.000    0.001    0.000 feedparser.py:469(_parse_headers)
        9    0.000    0.000    0.000    0.000 {method 'getsockopt' of '_socket.socket' objects}
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      126    0.000    0.000    0.001    0.000 _policybase.py:301(header_source_parse)
      734    0.000    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      189    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
       97    0.000    0.000    0.001    0.000 parse.py:374(urlparse)
      208    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
     1057    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
       96    0.000    0.000    0.000    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
       98    0.000    0.000    0.340    0.003 utils.py:265(is_multi_byte_encoding)
