('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1044928 function calls (1019376 primitive calls) in 9.848 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   101304    0.018    0.000    0.018    0.000 {method 'append' of 'list' objects}
75168/68829    0.013    0.000    0.015    0.000 {built-in method builtins.len}
72170/72130    0.013    0.000    0.014    0.000 {built-in method builtins.isinstance}
    41852    0.051    0.000    0.051    0.000 {method 'match' of 're.Pattern' objects}
    30588    0.009    0.000    0.009    0.000 {method 'lower' of 'str' objects}
    30237    0.010    0.000    0.010    0.000 {method 'get' of 'dict' objects}
    29622    0.010    0.000    0.015    0.000 _parser.py:168(__getitem__)
    29592    0.015    0.000    0.015    0.000 {method 'group' of 're.Match' objects}
    25800    0.006    0.000    0.006    0.000 {method 'end' of 're.Match' objects}
    25533    0.006    0.000    0.006    0.000 _parser.py:240(__next)
    20346    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
    18290    0.011    0.000    0.046    0.000 _markupbase.py:44(updatepos)
    16704    0.007    0.000    0.010    0.000 _parser.py:261(get)
    14655    0.004    0.000    0.004    0.000 {built-in method builtins.min}
    14353    0.019    0.000    0.019    0.000 element.py:382(setup)
    14261    0.002    0.000    0.002    0.000 typing.py:2154(cast)
    14029    0.013    0.000    0.013    0.000 {method 'search' of 're.Pattern' objects}
    13874    0.009    0.000    0.009    0.000 {method 'count' of 'str' objects}
    13236    0.004    0.000    0.006    0.000 _parser.py:256(match)
    12578    0.003    0.000    0.005    0.000 _parser.py:164(__len__)
    11404    0.002    0.000    0.002    0.000 {method 'strip' of 'str' objects}
    11111    0.004    0.000    0.025    0.000 __init__.py:122(unescape)
    10148    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
9858/9831    0.008    0.000    0.017    0.000 typing.py:392(inner)
     9665    0.020    0.000    0.087    0.000 __init__.py:829(endData)
     9480    0.002    0.000    0.002    0.000 element.py:3090(descendants)
     9422    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
     9324    0.003    0.000    0.003    0.000 {method 'start' of 're.Match' objects}
8774/8706    0.004    0.000    0.004    0.000 {method 'join' of 'str' objects}
     8457    0.008    0.000    0.012    0.000 __init__.py:91(_replace_charref)
     8160    0.003    0.000    0.003    0.000 {method 'endswith' of 'str' objects}
     7473    0.004    0.000    0.005    0.000 _parser.py:176(append)
     6197    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
6105/6075    0.298    0.000    0.302    0.000 {built-in method __new__ of type object at 0xa43b40}
 5523/193    0.022    0.000    0.052    0.000 _compiler.py:37(_compile)
 5471/375    0.007    0.000    0.012    0.000 _parser.py:178(getwidth)
     5353    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
     4967    0.002    0.000    0.003    0.000 {built-in method builtins.max}
     4900    0.002    0.000    0.003    0.000 __init__.py:1068(handle_data)
     4842    0.010    0.000    0.027    0.000 __init__.py:870(object_was_parsed)
     4842    0.008    0.000    0.014    0.000 __init__.py:735(string_container)
     4842    0.012    0.000    0.024    0.000 element.py:1478(__new__)
 4763/201    0.035    0.000    0.100    0.000 _parser.py:512(_parse)
     4734    0.003    0.000    0.006    0.000 _htmlparser.py:222(handle_data)
     4669    0.010    0.000    0.012    0.000 __init__.py:812(pushTag)
     4669    0.018    0.000    0.142    0.000 element.py:1813(__init__)
     4669    0.001    0.000    0.002    0.000 __init__.py:636(set_up_substitutions)
     4669    0.002    0.000    0.002    0.000 __init__.py:290(can_be_empty_element)
     4667    0.008    0.000    0.009    0.000 __init__.py:789(popTag)
     4667    0.026    0.000    0.223    0.000 __init__.py:990(handle_starttag)
     4667    0.102    0.000    0.115    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     4667    0.018    0.000    0.247    0.000 _htmlparser.py:142(handle_starttag)
     4667    0.006    0.000    0.023    0.000 parser.py:364(check_for_whole_start_tag)
     4667    0.057    0.000    0.403    0.000 parser.py:320(parse_starttag)
     4667    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
     4667    0.020    0.000    0.096    0.000 _htmlparser.py:204(handle_endtag)
     4667    0.002    0.000    0.003    0.000 element.py:2007(is_empty_element)
     4664    0.011    0.000    0.023    0.000 __init__.py:953(_popToTag)
     4664    0.007    0.000    0.077    0.000 __init__.py:1056(handle_endtag)
     4578    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     4498    0.003    0.000    0.007    0.000 element.py:2068(_all_strings)
     4310    0.002    0.000    0.002    0.000 _parser.py:293(tell)
     4282    0.015    0.000    0.120    0.000 parser.py:398(parse_endtag)
     4282    0.001    0.000    0.001    0.000 parser.py:128(clear_cdata_mode)
     4105    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
     3823    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     3722    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     3718    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
     3626    0.006    0.000    0.006    0.000 {method 'findall' of 're.Pattern' objects}
     3093    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     2881    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     2844    0.006    0.000    0.007    0.000 __init__.py:909(_linkage_fixer)
     2585    0.001    0.000    0.003    0.000 css_parser.py:317(match)
     2560    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
     2342    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     2120    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1563    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1563    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1534    0.010    0.000    0.022    0.000 {method 'sub' of 're.Pattern' objects}
     1494    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
     1410    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
     1401    0.000    0.000    0.001    0.000 <frozen os>:766(decode)
     1386    0.001    0.000    0.001    0.000 <frozen os>:703(__iter__)
     1386    0.000    0.000    0.002    0.000 <frozen _collections_abc>:868(__iter__)
     1365    0.001    0.000    0.002    0.000 _parser.py:172(__setitem__)
     1330    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
 1274/193    0.009    0.000    0.101    0.001 _parser.py:452(_parse_sub)
     1203    0.478    0.000    0.478    0.000 {built-in method posix.stat}
     1161    0.001    0.000    0.478    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1059    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
     1016    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     1009    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     1003    0.001    0.000    0.002    0.000 _compiler.py:398(_simple)
  998/993    0.080    0.000    0.205    0.000 {built-in method builtins.__build_class__}
      975    0.001    0.000    0.001    0.000 typing.py:1134(_is_dunder)
      954    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      944    0.001    0.000    0.002    0.000 _parser.py:449(_uniq)
      906    0.009    0.000    0.014    0.000 _compiler.py:243(_optimize_charset)
      906    0.001    0.000    0.002    0.000 _compiler.py:216(_compile_charset)
