('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1046056 function calls (1020540 primitive calls) in 44.380 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3   33.100   11.033   33.100   11.033 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    5.004    5.004    5.004    5.004 {built-in method time.sleep}
      703    3.632    0.005    3.632    0.005 {method 'read' of '_ssl._SSLSocket' objects}
        3    1.450    0.483    1.450    0.483 {built-in method _socket.getaddrinfo}
        3    0.098    0.033    0.098    0.033 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     4678    0.053    0.000    0.325    0.000 parser.py:320(parse_starttag)
    41854    0.048    0.000    0.048    0.000 {method 'match' of 're.Pattern' objects}
     4678    0.040    0.000    0.056    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
        4    0.037    0.009    0.519    0.130 parser.py:135(goahead)
 4763/201    0.036    0.000    0.103    0.001 _parser.py:512(_parse)
      254    0.029    0.000    0.029    0.000 {built-in method marshal.loads}
     4678    0.029    0.000    0.161    0.000 __init__.py:990(handle_starttag)
 5523/193    0.025    0.000    0.056    0.000 _compiler.py:37(_compile)
        3    0.023    0.008    0.023    0.008 {method 'connect' of '_socket.socket' objects}
        7    0.022    0.003    0.022    0.003 socket.py:221(__init__)
      537    0.020    0.000    0.020    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     4678    0.018    0.000    0.087    0.000 _htmlparser.py:204(handle_endtag)
  998/993    0.018    0.000    0.092    0.000 {built-in method builtins.__build_class__}
     9687    0.018    0.000    0.079    0.000 __init__.py:829(endData)
    14448    0.018    0.000    0.018    0.000 element.py:382(setup)
   101327    0.017    0.000    0.017    0.000 {method 'append' of 'list' objects}
     4678    0.016    0.000    0.183    0.000 _htmlparser.py:142(handle_starttag)
     4680    0.016    0.000    0.082    0.000 element.py:1813(__init__)
     4287    0.014    0.000    0.108    0.000 parser.py:398(parse_endtag)
    29615    0.014    0.000    0.014    0.000 {method 'group' of 're.Match' objects}
75046/68743    0.013    0.000    0.015    0.000 {built-in method builtins.len}
72368/72328    0.013    0.000    0.013    0.000 {built-in method builtins.isinstance}
    14050    0.012    0.000    0.012    0.000 {method 'search' of 're.Pattern' objects}
    29586    0.011    0.000    0.016    0.000 _parser.py:168(__getitem__)
     3657    0.011    0.000    0.011    0.000 {method 'findall' of 're.Pattern' objects}
     4675    0.010    0.000    0.021    0.000 __init__.py:953(_popToTag)
     4884    0.010    0.000    0.021    0.000 element.py:1478(__new__)
6147/6117    0.010    0.000    0.012    0.000 {built-in method __new__ of type object at 0xa43b40}
     4680    0.010    0.000    0.011    0.000 __init__.py:812(pushTag)
    18322    0.010    0.000    0.017    0.000 _markupbase.py:44(updatepos)
     4884    0.009    0.000    0.024    0.000 __init__.py:870(object_was_parsed)
 1274/193    0.009    0.000    0.104    0.001 _parser.py:452(_parse_sub)
    30317    0.009    0.000    0.009    0.000 {method 'get' of 'dict' objects}
      906    0.009    0.000    0.014    0.000 _compiler.py:243(_optimize_charset)
     1203    0.009    0.000    0.009    0.000 {built-in method posix.stat}
     4884    0.009    0.000    0.014    0.000 __init__.py:735(string_container)
    30581    0.008    0.000    0.008    0.000 {method 'lower' of 'str' objects}
     1544    0.008    0.000    0.019    0.000 {method 'sub' of 're.Pattern' objects}
    16704    0.008    0.000    0.012    0.000 _parser.py:261(get)
 5471/375    0.008    0.000    0.012    0.000 _parser.py:178(getwidth)
    13932    0.008    0.000    0.008    0.000 {method 'count' of 'str' objects}
     8516    0.007    0.000    0.011    0.000 __init__.py:91(_replace_charref)
9911/9884    0.007    0.000    0.017    0.000 typing.py:392(inner)
      254    0.007    0.000    0.007    0.000 {built-in method _io.open_code}
     4678    0.007    0.000    0.008    0.000 __init__.py:789(popTag)
      541    0.006    0.000    0.027    0.000 response.py:137(decompress)
    20367    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
    25533    0.006    0.000    0.006    0.000 _parser.py:240(__next)
      388    0.006    0.000    0.266    0.001 {method 'read' of '_io.BufferedReader' objects}
        2    0.006    0.003    0.006    0.003 models.py:911(text)
     4678    0.006    0.000    0.021    0.000 parser.py:364(check_for_whole_start_tag)
     4675    0.006    0.000    0.069    0.000 __init__.py:1056(handle_endtag)
    25775    0.006    0.000    0.006    0.000 {method 'end' of 're.Match' objects}
     2869    0.005    0.000    0.006    0.000 __init__.py:909(_linkage_fixer)
        1    0.005    0.005    0.065    0.065 dammit.py:128(_populate_class_variables)
      104    0.005    0.000    0.298    0.003 {method 'join' of 'bytes' objects}
    16/13    0.005    0.000    0.010    0.001 {built-in method _imp.create_dynamic}
      534    0.005    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
    13236    0.004    0.000    0.006    0.000 _parser.py:256(match)
      254    0.004    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
       16    0.004    0.000    0.004    0.000 {built-in method _imp.exec_dynamic}
    14653    0.004    0.000    0.004    0.000 {built-in method builtins.min}
      496    0.004    0.000    0.005    0.000 css_types.py:41(__init__)
    641/9    0.004    0.000    0.413    0.046 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     4540    0.004    0.000    0.007    0.000 element.py:2068(_all_strings)
      320    0.003    0.000    0.183    0.001 __init__.py:280(_compile)
    12542    0.003    0.000    0.005    0.000 _parser.py:164(__len__)
8816/8748    0.003    0.000    0.004    0.000 {method 'join' of 'str' objects}
     2881    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    11060    0.003    0.000    0.022    0.000 __init__.py:122(unescape)
     4776    0.003    0.000    0.006    0.000 _htmlparser.py:222(handle_data)
      703    0.003    0.000    3.637    0.005 ssl.py:1237(recv_into)
        3    0.003    0.001    0.003    0.001 connection.py:375(close)
    314/4    0.003    0.000    0.416    0.104 <frozen importlib._bootstrap>:1349(_find_and_load)
     8171    0.003    0.000    0.003    0.000 {method 'endswith' of 'str' objects}
      254    0.003    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
       16    0.003    0.000    0.006    0.000 enum.py:1708(convert_class)
      311    0.002    0.000    0.030    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     7473    0.002    0.000    0.004    0.000 _parser.py:176(append)
    11474    0.002    0.000    0.002    0.000 {method 'strip' of 'str' objects}
     4678    0.002    0.000    0.003    0.000 element.py:2007(is_empty_element)
     9340    0.002    0.000    0.002    0.000 {method 'start' of 're.Match' objects}
     9533    0.002    0.000    0.002    0.000 element.py:3090(descendants)
      354    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:304(acquire)
     9481    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
     4942    0.002    0.000    0.003    0.000 __init__.py:1068(handle_data)
      703    0.002    0.000    3.634    0.005 ssl.py:1095(read)
      508    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     4965    0.002    0.000    0.003    0.000 {built-in method builtins.max}
      124    0.002    0.000    0.004    0.000 _compiler.py:467(_get_charset_prefix)
      193    0.002    0.000    0.176    0.001 _compiler.py:740(compile)
    256/1    0.002    0.000   44.380   44.380 {built-in method builtins.exec}
       17    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
    10148    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
    313/4    0.002    0.000    0.416    0.104 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      354    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      268    0.002    0.000    0.002    0.000 _compiler.py:386(_mk_bitmap)
    14325    0.002    0.000    0.002    0.000 typing.py:2154(cast)
     4680    0.002    0.000    0.002    0.000 __init__.py:290(can_be_empty_element)
    288/5    0.002    0.000    0.415    0.083 <frozen importlib._bootstrap>:911(_load_unlocked)
        1    0.002    0.002   43.960   43.960 financial.py:85(main)
     4105    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
     1365    0.002    0.000    0.002    0.000 _parser.py:172(__setitem__)
        1    0.002    0.002   44.380   44.380 financial.py:1(<module>)
      703    0.002    0.000    3.640    0.005 socket.py:693(readinto)
     4310    0.002    0.000    0.002    0.000 _parser.py:293(tell)
       66    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      906    0.001    0.000    0.002    0.000 _compiler.py:216(_compile_charset)
      341    0.001    0.000    0.006    0.000 css_parser.py:1108(selector_iter)
       17    0.001    0.000    0.004    0.000 __init__.py:355(namedtuple)
     3722    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      254    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      193    0.001    0.000    0.011    0.000 _compiler.py:511(_compile_info)
     6197    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
      354    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
      377    0.001    0.000    0.002    0.000 parse.py:374(urlparse)
      528    0.001    0.000    0.291    0.001 response.py:1368(read_chunked)
     5363    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     4586    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
        1    0.001    0.001    0.027    0.027 url.py:1(<module>)
    56/16    0.001    0.000    0.023    0.001 css_parser.py:925(parse_selectors)
      354    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
      293    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      288    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      897    0.001    0.000    0.002    0.000 typing.py:1188(__setattr__)
     4680    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
      944    0.001    0.000    0.002    0.000 _parser.py:449(_uniq)
        1    0.001    0.001    0.001    0.001 cp1251.py:1(<module>)
       10    0.001    0.000    0.007    0.001 enum.py:919(_convert_)
      386    0.001    0.000    0.003    0.000 enum.py:1562(__and__)
       53    0.001    0.000    0.003    0.000 <frozen abc>:105(__new__)
      320    0.001    0.000    0.004    0.000 typing.py:175(_type_check)
     1059    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
     3823    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
      254    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      508    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      270    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
     2342    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       20    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      354    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:162(__enter__)
     4678    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
       21    0.001    0.000    0.972    0.046 __init__.py:1(<module>)
     4287    0.001    0.000    0.001    0.000 parser.py:128(clear_cdata_mode)
      193    0.001    0.000    0.106    0.001 _parser.py:969(parse)
     3093    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       79    0.001    0.000    0.007    0.000 css_parser.py:472(parse_attribute_selector)
     2120    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     2585    0.001    0.000    0.003    0.000 css_parser.py:317(match)
      813    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
     1494    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
      141    0.001    0.000    0.005    0.000 typing.py:1242(__init__)
     1330    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
    254/5    0.001    0.000    0.415    0.083 <frozen importlib._bootstrap_external>:989(exec_module)
       17    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
      542    0.001    0.000    0.027    0.000 response.py:619(_decode)
     1009    0.001    0.000    0.001    0.000 {built-in method fromkeys}
       17    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
       32    0.001    0.000    0.001    0.000 url.py:227(_encode_invalid_chars)
  519/173    0.001    0.000    0.001    0.000 cookiejar.py:1227(deepvalues)
      703    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     1003    0.001    0.000    0.002    0.000 _compiler.py:398(_simple)
       82    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
  288/281    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
