('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1043035 function calls (1017517 primitive calls) in 15.800 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      687    3.811    0.006    3.811    0.006 {method 'read' of '_ssl._SSLSocket' objects}
      390    2.521    0.006    2.910    0.007 {method 'read' of '_io.BufferedReader' objects}
        3    1.675    0.558    1.675    0.558 {built-in method _socket.getaddrinfo}
        3    1.184    0.395    1.184    0.395 {method 'do_handshake' of '_ssl._SSLSocket' objects}
    16/13    0.951    0.059    1.074    0.083 {built-in method _imp.create_dynamic}
6104/6074    0.735    0.000    0.785    0.000 {built-in method __new__ of type object at 0xa43b40}
        3    0.671    0.224    0.671    0.224 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     1203    0.503    0.000    0.503    0.000 {built-in method posix.stat}
      529    0.486    0.001    0.486    0.001 {method 'decompress' of 'zlib.Decompress' objects}
      254    0.322    0.001    0.322    0.001 {built-in method _io.open_code}
        3    0.262    0.087    0.262    0.087 {method 'connect' of '_socket.socket' objects}
       16    0.197    0.012    0.197    0.012 {built-in method _imp.exec_dynamic}
      254    0.166    0.001    0.166    0.001 {built-in method marshal.loads}
      354    0.147    0.000    0.147    0.000 <frozen importlib._bootstrap>:74(__new__)
    41690    0.144    0.000    0.144    0.000 {method 'match' of 're.Pattern' objects}
       12    0.126    0.010    0.126    0.011 enum.py:1414(_missing_)
        1    0.124    0.124    0.124    0.124 {method 'bind' of '_socket.socket' objects}
     4650    0.065    0.000    0.462    0.000 parser.py:320(parse_starttag)
        3    0.057    0.019    0.057    0.019 ssl.py:542(minimum_version)
72114/72074    0.054    0.000    0.054    0.000 {built-in method builtins.isinstance}
        3    0.052    0.017    0.052    0.017 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        4    0.049    0.012    0.049    0.012 {built-in method _ssl.txt2obj}
        4    0.045    0.011    0.765    0.191 parser.py:135(goahead)
        7    0.044    0.006    0.044    0.006 {built-in method select.poll}
     4841    0.043    0.000    0.062    0.000 __init__.py:870(object_was_parsed)
    13978    0.039    0.000    0.039    0.000 {method 'search' of 're.Pattern' objects}
  998/993    0.039    0.000    0.261    0.000 {built-in method builtins.__build_class__}
      127    0.038    0.000    0.038    0.000 {method 'replace' of 'str' objects}
 4763/201    0.037    0.000    0.119    0.001 _parser.py:512(_parse)
        3    0.035    0.012    0.035    0.012 {method 'getsockopt' of '_socket.socket' objects}
     4650    0.034    0.000    0.049    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
    30476    0.032    0.000    0.032    0.000 {method 'lower' of 'str' objects}
     4650    0.030    0.000    0.172    0.000 __init__.py:990(handle_starttag)
       16    0.029    0.002    0.041    0.003 {built-in method builtins.sorted}
      203    0.025    0.000    0.025    0.000 {method 'upper' of 'str' objects}
 5523/193    0.024    0.000    0.059    0.000 _compiler.py:37(_compile)
        7    0.024    0.003    0.027    0.004 typing.py:2761(_make_nmtuple)
     4650    0.023    0.000    0.139    0.000 _htmlparser.py:204(handle_endtag)
      104    0.023    0.000    0.914    0.009 {method 'join' of 'bytes' objects}
     9631    0.023    0.000    0.129    0.000 __init__.py:829(endData)
75046/68741    0.023    0.000    0.025    0.000 {built-in method builtins.len}
    14334    0.022    0.000    0.022    0.000 element.py:382(setup)
       10    0.021    0.002    0.027    0.003 enum.py:919(_convert_)
   101173    0.021    0.000    0.021    0.000 {method 'append' of 'list' objects}
     4650    0.020    0.000    0.200    0.000 _htmlparser.py:142(handle_starttag)
      294    0.019    0.000    0.019    0.000 {built-in method _imp.find_frozen}
       17    0.019    0.001    0.019    0.001 {built-in method _imp.create_builtin}
     4652    0.019    0.000    0.079    0.000 element.py:1813(__init__)
        3    0.018    0.006    0.019    0.006 ssl.py:1309(_real_close)
     4265    0.018    0.000    0.166    0.000 parser.py:398(parse_endtag)
      594    0.017    0.000    0.017    0.000 {method 'rfind' of 'str' objects}
    29492    0.016    0.000    0.016    0.000 {method 'group' of 're.Match' objects}
    29588    0.015    0.000    0.021    0.000 _parser.py:168(__getitem__)
       20    0.015    0.001    0.015    0.001 {built-in method posix.listdir}
      392    0.015    0.000    0.015    0.000 {method 'split' of 'str' objects}
     4841    0.013    0.000    0.026    0.000 element.py:1478(__new__)
     4647    0.013    0.000    0.025    0.000 __init__.py:953(_popToTag)
        3    0.012    0.004    0.208    0.069 utils.py:1(<module>)
        4    0.012    0.003    0.012    0.003 {function socket.close at 0x78ddddc1af20}
     4652    0.012    0.000    0.014    0.000 __init__.py:812(pushTag)
    18222    0.011    0.000    0.030    0.000 _markupbase.py:44(updatepos)
      348    0.011    0.000    0.011    0.000 utils.py:91(<genexpr>)
    30168    0.011    0.000    0.011    0.000 {method 'get' of 'dict' objects}
     1534    0.010    0.000    0.024    0.000 {method 'sub' of 're.Pattern' objects}
      906    0.010    0.000    0.016    0.000 _compiler.py:243(_optimize_charset)
        3    0.010    0.003    0.010    0.003 parse.py:688(unquote)
        2    0.010    0.005    0.011    0.005 pathlib.py:551(drive)
      377    0.010    0.000    0.010    0.000 {method 'rindex' of 'str' objects}
     4841    0.010    0.000    0.016    0.000 __init__.py:735(string_container)
9840/9813    0.009    0.000    0.019    0.000 typing.py:392(inner)
 1274/193    0.009    0.000    0.120    0.001 _parser.py:452(_parse_sub)
     8451    0.009    0.000    0.014    0.000 __init__.py:91(_replace_charref)
    13839    0.009    0.000    0.009    0.000 {method 'count' of 'str' objects}
 5471/375    0.009    0.000    0.014    0.000 _parser.py:178(getwidth)
     4650    0.008    0.000    0.010    0.000 __init__.py:789(popTag)
     4647    0.008    0.000    0.116    0.000 __init__.py:1056(handle_endtag)
     4650    0.007    0.000    0.113    0.000 parser.py:364(check_for_whole_start_tag)
     3626    0.007    0.000    0.007    0.000 {method 'findall' of 're.Pattern' objects}
    20295    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
      254    0.007    0.000    3.035    0.012 <frozen importlib._bootstrap_external>:1062(get_code)
    16704    0.007    0.000    0.011    0.000 _parser.py:261(get)
      533    0.007    0.000    0.494    0.001 response.py:137(decompress)
      293    0.007    0.000    0.540    0.002 <frozen importlib._bootstrap_external>:1491(_get_spec)
    25689    0.006    0.000    0.006    0.000 {method 'end' of 're.Match' objects}
     2844    0.006    0.000    0.007    0.000 __init__.py:909(_linkage_fixer)
    25533    0.006    0.000    0.006    0.000 _parser.py:240(__next)
        2    0.006    0.003    0.006    0.003 models.py:911(text)
      534    0.006    0.000    0.530    0.001 <frozen importlib._bootstrap_external>:1593(find_spec)
        3    0.005    0.002    0.024    0.008 connection.py:375(close)
        1    0.005    0.005    0.068    0.068 dammit.py:128(_populate_class_variables)
       17    0.005    0.000    0.005    0.000 <frozen codecs>:1076(make_identity_dict)
    14655    0.005    0.000    0.005    0.000 {built-in method builtins.min}
      254    0.004    0.000    0.171    0.001 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
       17    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
8773/8705    0.004    0.000    0.004    0.000 {method 'join' of 'str' objects}
    11052    0.004    0.000    0.027    0.000 __init__.py:122(unescape)
    13236    0.004    0.000    0.006    0.000 _parser.py:256(match)
     2881    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     4497    0.004    0.000    0.008    0.000 element.py:2068(_all_strings)
      320    0.004    0.000    0.244    0.001 __init__.py:280(_compile)
    12544    0.004    0.000    0.013    0.000 _parser.py:164(__len__)
     8143    0.003    0.000    0.003    0.000 {method 'endswith' of 'str' objects}
      254    0.003    0.000    0.003    0.000 {method '__exit__' of '_io._IOBase' objects}
      496    0.003    0.000    0.005    0.000 css_types.py:41(__init__)
     4650    0.003    0.000    0.005    0.000 element.py:2007(is_empty_element)
     4733    0.003    0.000    0.007    0.000 _htmlparser.py:222(handle_data)
    314/4    0.003    0.000    5.695    1.424 <frozen importlib._bootstrap>:1349(_find_and_load)
      311    0.003    0.000    0.570    0.002 <frozen importlib._bootstrap>:1240(_find_spec)
    11386    0.003    0.000    0.003    0.000 {method 'strip' of 'str' objects}
       16    0.003    0.000    0.007    0.000 enum.py:1708(convert_class)
      354    0.003    0.000    0.155    0.000 <frozen importlib._bootstrap>:304(acquire)
     9290    0.003    0.000    0.003    0.000 {method 'start' of 're.Match' objects}
      124    0.003    0.000    0.006    0.000 _compiler.py:467(_get_charset_prefix)
    256/1    0.003    0.000   15.800   15.800 {built-in method builtins.exec}
      354    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     4310    0.003    0.000    0.003    0.000 _parser.py:293(tell)
     9422    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
    641/9    0.003    0.000    5.060    0.562 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      508    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     7473    0.003    0.000    0.004    0.000 _parser.py:176(append)
     9462    0.002    0.000    0.003    0.000 element.py:3090(descendants)
     4899    0.002    0.000    0.004    0.000 __init__.py:1068(handle_data)
    313/4    0.002    0.000    5.549    1.387 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    288/5    0.002    0.000    5.408    1.082 <frozen importlib._bootstrap>:911(_load_unlocked)
     4652    0.002    0.000    0.002    0.000 __init__.py:290(can_be_empty_element)
      687    0.002    0.000    3.815    0.006 ssl.py:1237(recv_into)
    10148    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
     4957    0.002    0.000    0.003    0.000 {built-in method builtins.max}
    14226    0.002    0.000    0.002    0.000 typing.py:2154(cast)
        1    0.002    0.002   10.081   10.081 financial.py:85(main)
       17    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
      906    0.002    0.000    0.003    0.000 _compiler.py:216(_compile_charset)
      268    0.002    0.000    0.002    0.000 _compiler.py:386(_mk_bitmap)
      354    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:372(release)
      254    0.002    0.000    2.846    0.011 <frozen importlib._bootstrap_external>:1183(get_data)
      354    0.002    0.000    0.150    0.000 <frozen importlib._bootstrap>:124(setdefault)
      687    0.002    0.000    3.818    0.006 socket.py:693(readinto)
     4561    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
       66    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
     4105    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
        1    0.002    0.002    0.002    0.002 {built-in method math.exp}
     5335    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
      520    0.002    0.000    0.421    0.001 response.py:1368(read_chunked)
       17    0.001    0.000    0.004    0.000 __init__.py:355(namedtuple)
      377    0.001    0.000    0.003    0.000 parse.py:374(urlparse)
     3722    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     6197    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
      288    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       27    0.001    0.000    0.001    0.000 {method 'settimeout' of '_socket.socket' objects}
     4652    0.001    0.000    0.002    0.000 __init__.py:636(set_up_substitutions)
      341    0.001    0.000    0.006    0.000 css_parser.py:1108(selector_iter)
     1365    0.001    0.000    0.002    0.000 _parser.py:172(__setitem__)
        1    0.001    0.001    0.001    0.001 {built-in method _hashlib.openssl_sha1}
       53    0.001    0.000    0.003    0.000 <frozen abc>:105(__new__)
     3093    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     4265    0.001    0.000    0.001    0.000 parser.py:128(clear_cdata_mode)
      386    0.001    0.000    0.043    0.000 enum.py:1562(__and__)
       21    0.001    0.000   10.495    0.500 __init__.py:1(<module>)
      193    0.001    0.000    0.013    0.000 _compiler.py:511(_compile_info)
      254    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      944    0.001    0.000    0.002    0.000 _parser.py:449(_uniq)
    254/5    0.001    0.000    5.408    1.082 <frozen importlib._bootstrap_external>:989(exec_module)
     1059    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
      254    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
    56/16    0.001    0.000    0.021    0.001 css_parser.py:925(parse_selectors)
      270    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
     3823    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      193    0.001    0.000    0.196    0.001 _compiler.py:740(compile)
     4650    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
      508    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      320    0.001    0.000    0.004    0.000 typing.py:175(_type_check)
      846    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
     15/9    0.001    0.000    5.910    0.657 sessions.py:160(resolve_redirects)
        1    0.001    0.001    0.001    0.001 cp1251.py:1(<module>)
      687    0.001    0.000    3.812    0.006 ssl.py:1095(read)
     1330    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
     2342    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      897    0.001    0.000    0.002    0.000 typing.py:1188(__setattr__)
      354    0.001    0.000    0.151    0.000 <frozen importlib._bootstrap>:162(__enter__)
       17    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
       32    0.001    0.000    0.001    0.000 url.py:227(_encode_invalid_chars)
      813    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
      762    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1009    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     2120    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      141    0.001    0.000    0.004    0.000 typing.py:1242(__init__)
     1494    0.001    0.000    0.041    0.000 enum.py:1544(_get_value)
     2585    0.001    0.000    0.003    0.000 css_parser.py:317(match)
      195    0.001    0.000    3.429    0.018 {method 'readline' of '_io.BufferedReader' objects}
      193    0.001    0.000    0.121    0.001 _parser.py:969(parse)
      359    0.001    0.000    0.001    0.000 enum.py:850(__setattr__)
       79    0.001    0.000    0.006    0.000 css_parser.py:472(parse_attribute_selector)
      313    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:420(__exit__)
     3718    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
      354    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
  288/281    0.001    0.000    1.086    0.004 <frozen importlib._bootstrap>:806(module_from_spec)
       33    0.001    0.000    0.003    0.000 request.py:2510(getproxies_environment)
      311    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
      164    0.001    0.000    0.005    0.000 _markupbase.py:165(parse_comment)
      353    0.001    0.000    0.494    0.001 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      534    0.001    0.000    0.494    0.001 response.py:619(_decode)
      270    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
        1    0.001    0.001    0.030    0.030 constant.py:1(<module>)
      311    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
      313    0.001    0.000    0.158    0.001 <frozen importlib._bootstrap>:416(__enter__)
        1    0.001    0.001    0.001    0.001 idnadata.py:1(<module>)
        1    0.001    0.001    0.001    0.001 {built-in method _hashlib.openssl_sha384}
       82    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
     2560    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
     1003    0.001    0.000    0.002    0.000 _compiler.py:398(_simple)
      417    0.001    0.000    0.001    0.000 parse.py:119(_coerce_args)
     1386    0.001    0.000    0.001    0.000 <frozen os>:703(__iter__)
     1161    0.001    0.000    0.503    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
  519/173    0.001    0.000    0.001    0.000 cookiejar.py:1227(deepvalues)
       10    0.001    0.000    0.001    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      687    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      519    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
        1    0.001    0.001   15.800   15.800 financial.py:1(<module>)
      311    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
